CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , ,LICENCIADO EN CIENCIAS AMBIENTALES,583,Hombre,0,0,28,49,46,40,35,37,20,14,19,6,12,4,9,319
 , ,LICENCIADO EN CIENCIAS AMBIENTALES, ,Mujer,0,0,23,32,55,33,26,29,23,18,9,2,12,1,1,264
 , ,LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS,47,Hombre,0,0,0,0,5,1,5,2,2,1,2,3,2,1,0,24
 , ,LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS, ,Mujer,0,0,0,3,2,3,3,2,0,2,0,1,5,1,1,23
 , ,LICENCIADO EN FÍSICA,321,Hombre,0,0,23,21,35,31,20,19,15,10,14,5,27,12,4,236
 , ,LICENCIADO EN FÍSICA, ,Mujer,0,0,15,7,15,16,5,6,4,3,2,3,9,0,0,85
 , ,LICENCIADO EN GEOLOGÍA,139,Hombre,0,0,5,13,13,11,8,5,8,4,5,5,11,4,2,94
 , ,LICENCIADO EN GEOLOGÍA, ,Mujer,0,0,5,10,2,4,4,5,2,1,1,3,8,0,0,45
 , ,LICENCIADO EN MATEMÁTICAS,243,Hombre,0,1,17,30,31,19,8,7,11,8,2,6,6,1,5,152
 , ,LICENCIADO EN MATEMÁTICAS, ,Mujer,0,1,17,19,16,8,6,8,4,5,1,0,4,2,0,91
 , ,LICENCIADO EN QUÍMICA,282,Hombre,0,0,7,19,11,12,8,13,9,6,8,9,21,6,4,133
 , ,LICENCIADO EN QUÍMICA, ,Mujer,0,0,8,20,13,11,14,9,12,11,8,8,24,10,1,149
FAC. CC. ACTV.FISICA Y DEPORTE,1378,GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,361,Hombre,81,87,25,25,32,8,7,4,2,0,1,1,4,5,3,285
 , ,GRADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE, ,Mujer,27,28,6,7,5,0,1,1,1,0,0,0,0,0,0,76
 , ,LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,1017,Hombre,1,9,114,171,177,119,78,38,38,22,16,19,33,9,3,847
 , ,LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE, ,Mujer,0,0,34,38,27,20,16,10,6,7,3,3,3,3,0,170
FAC. CC. EDUCACION,5512,DIPLOMADO EN EDUCACIÓN SOCIAL,106,Hombre,0,0,5,2,1,3,3,0,0,1,0,1,3,0,1,20
 , ,DIPLOMADO EN EDUCACIÓN SOCIAL, ,Mujer,0,0,24,6,7,15,3,9,4,2,5,3,3,1,4,86
 , ,GRADO EN EDUCACIÓN SOCIAL,243,Hombre,5,6,6,4,3,5,2,2,4,1,1,1,0,0,1,41
 , ,GRADO EN EDUCACIÓN SOCIAL, ,Mujer,25,41,10,32,31,24,8,11,3,6,2,1,4,1,3,202
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL,579,Hombre,2,4,4,2,1,1,3,3,0,2,1,0,1,1,1,26
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL, ,Mujer,84,136,83,53,65,43,15,15,10,8,9,1,20,6,5,553
 , ,GRADO EN MAESTRO DE EDUCACIÓN PRIMARIA (BILINGÜE),67,Hombre,6,3,0,1,0,0,1,1,0,0,0,1,1,0,0,14
 , ,GRADO EN MAESTRO DE EDUCACIÓN PRIMARIA (BILINGÜE), ,Mujer,31,8,3,3,1,0,0,1,0,1,0,3,1,1,0,53
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA,1295,Hombre,93,177,90,56,39,29,20,11,9,9,1,1,16,6,1,558
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA, ,Mujer,163,254,92,58,52,32,18,16,9,5,4,6,14,9,5,737
 , ,GRADO EN PEDAGOGÍA,216,Hombre,5,10,5,5,5,3,1,0,0,0,0,1,2,0,2,39
 , ,GRADO EN PEDAGOGÍA, ,Mujer,33,62,39,18,8,6,5,1,1,1,0,0,2,0,1,177
 , ,LICENCIADO EN PEDAGOGÍA,733,Hombre,0,0,5,23,31,21,17,18,9,8,2,3,9,3,3,152
 , ,LICENCIADO EN PEDAGOGÍA, ,Mujer,0,0,50,107,111,99,61,48,28,16,13,13,20,7,8,581
 , ,LICENCIADO EN PSICOPEDAGOGÍA,579,Hombre,0,0,0,13,25,28,12,13,15,4,3,2,19,10,4,148
 , ,LICENCIADO EN PSICOPEDAGOGÍA, ,Mujer,0,0,1,56,81,67,43,33,30,11,22,13,43,16,15,431
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE,121,Hombre,0,0,0,0,0,2,1,3,1,0,1,0,2,2,2,14
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE, ,Mujer,0,0,14,15,13,15,7,5,7,5,4,3,13,4,2,107
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL,124,Hombre,0,0,0,4,1,4,2,4,1,0,1,1,1,0,4,23
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL, ,Mujer,0,0,22,17,11,12,10,5,4,4,3,1,6,5,1,101
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA,235,Hombre,0,1,38,18,12,15,18,12,7,9,10,6,10,5,5,166
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA, ,Mujer,0,0,13,7,8,8,3,8,4,6,1,2,6,2,1,69
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL,263,Hombre,0,0,2,0,2,1,0,1,0,2,1,0,2,1,0,12
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL, ,Mujer,0,0,74,27,26,24,16,11,11,11,6,9,20,7,9,251
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL,190,Hombre,0,0,11,17,11,9,6,6,10,3,6,3,8,5,2,97
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL, ,Mujer,0,0,15,15,21,6,6,3,5,5,5,1,7,3,1,93
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA,458,Hombre,0,0,21,8,24,13,9,10,2,5,2,7,19,5,1,126
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA, ,Mujer,0,0,88,44,33,25,31,26,15,14,8,10,24,8,6,332
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA,303,Hombre,0,1,7,6,5,10,6,6,6,6,6,5,11,5,1,81
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA, ,Mujer,0,1,40,30,34,23,19,10,8,6,9,4,17,11,10,222
FAC. CC. ECONOMICAS EMPRESAR.,6354,DIPLOMADO EN CIENCIAS EMPRESARIALES,1007,Hombre,0,6,35,66,58,52,42,50,35,38,18,17,46,14,12,489
 , ,DIPLOMADO EN CIENCIAS EMPRESARIALES, ,Mujer,0,0,52,82,61,54,48,41,33,27,21,21,46,17,15,518
 , ,DIPLOMADO EN TURISMO,413,Hombre,0,0,12,29,19,15,12,4,13,4,3,1,5,1,1,119
 , ,DIPLOMADO EN TURISMO, ,Mujer,0,0,36,65,52,31,28,21,9,13,14,7,14,4,0,294
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,620,Hombre,88,70,50,33,14,9,4,2,3,3,0,3,3,1,4,287
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS, ,Mujer,113,138,29,17,15,8,2,3,1,0,0,2,1,1,3,333
 , ,GRADO EN ECONOMÍA,521,Hombre,37,96,59,26,17,7,6,8,3,1,0,1,0,1,2,264
 , ,GRADO EN ECONOMÍA, ,Mujer,86,93,33,20,11,9,2,0,0,2,0,0,1,0,0,257
 , ,GRADO EN FINANZAS Y CONTABILIDAD,263,Hombre,10,22,23,12,9,10,7,6,2,2,1,1,1,1,3,110
 , ,GRADO EN FINANZAS Y CONTABILIDAD, ,Mujer,22,39,27,14,18,8,11,4,6,3,0,0,0,1,0,153
 , ,GRADO EN MARKETING E INVESTIGACIÓN DE MERCADOS,255,Hombre,19,47,16,15,9,10,3,0,1,3,0,1,0,0,3,127
 , ,GRADO EN MARKETING E INVESTIGACIÓN DE MERCADOS, ,Mujer,42,45,14,9,3,2,5,3,1,2,0,0,0,1,1,128
 , ,GRADO EN TURISMO,286,Hombre,15,24,11,14,11,9,4,1,1,5,2,0,3,1,1,102
 , ,GRADO EN TURISMO, ,Mujer,39,62,30,15,8,13,5,5,1,1,2,0,2,0,1,184
 , ,LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,1694,Hombre,0,4,74,138,142,106,84,64,41,21,16,11,46,8,9,764
 , ,LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS, ,Mujer,0,0,125,161,173,151,99,63,35,24,18,16,44,6,15,930
 , ,LICENCIADO EN ECONOMÍA,1143,Hombre,0,0,38,74,88,85,79,74,35,34,24,20,40,8,2,601
 , ,LICENCIADO EN ECONOMÍA, ,Mujer,0,1,55,85,88,80,61,46,29,31,27,6,31,0,2,542
 , ,LICENCIADO EN INVESTIGACIÓN Y TÉCNICAS DE MERCADO,152,Hombre,0,1,5,3,6,11,14,11,8,6,5,6,6,3,1,86
 , ,LICENCIADO EN INVESTIGACIÓN Y TÉCNICAS DE MERCADO, ,Mujer,0,0,0,0,1,11,13,12,7,6,4,4,6,2,0,66
FAC. CC. POLÍTICAS SOCIOLOGÍA,1418,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,303,Hombre,32,35,29,24,21,13,10,5,5,0,0,2,5,1,12,194
 , ,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN, ,Mujer,23,47,16,7,5,2,1,1,0,0,0,0,0,1,6,109
 , ,GRADO EN SOCIOLOGÍA,255,Hombre,11,24,21,13,11,3,6,2,3,2,0,0,1,1,3,101
 , ,GRADO EN SOCIOLOGÍA, ,Mujer,34,50,31,12,9,6,2,1,2,0,0,0,1,0,6,154
 , ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,479,Hombre,0,5,47,58,66,45,26,15,10,11,2,4,24,14,11,338
 , ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN, ,Mujer,0,0,6,15,25,18,13,11,12,6,2,4,13,10,6,141
 , ,LICENCIADO EN SOCIOLOGÍA,381,Hombre,1,1,23,34,25,24,24,21,12,5,4,1,11,2,5,193
 , ,LICENCIADO EN SOCIOLOGÍA, ,Mujer,0,0,17,15,33,26,16,25,16,10,5,4,9,7,5,188
FAC. DERECHO,3344,GRADO EN DERECHO,1044,Hombre,107,172,53,43,18,17,6,9,11,1,3,1,7,4,22,474
 , ,GRADO EN DERECHO, ,Mujer,185,234,68,24,15,9,2,2,4,3,3,1,7,2,11,570
 , ,LICENCIADO EN DERECHO,2299,Hombre,0,1,111,153,196,144,109,58,54,33,17,16,64,36,77,1069
 , ,LICENCIADO EN DERECHO, ,Mujer,0,0,177,182,211,145,102,67,62,33,29,24,63,49,86,1230
 , ,LICENCIATURA EN DERECHO,1,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,LICENCIATURA EN DERECHO, ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
FAC. FARMACIA,3250,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA,180,Hombre,0,0,8,5,6,0,2,5,4,5,0,3,2,2,3,45
 , ,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA, ,Mujer,0,0,26,12,17,16,14,8,12,10,3,0,12,1,4,135
 , ,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,63,Hombre,7,3,0,3,3,0,0,1,0,0,0,0,0,2,1,20
 , ,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS, ,Mujer,19,6,4,4,2,1,1,1,0,2,0,1,2,0,0,43
 , ,GRADO EN FARMACIA,683,Hombre,67,59,22,11,7,5,2,5,1,2,1,2,5,1,5,195
 , ,GRADO EN FARMACIA, ,Mujer,180,175,56,25,13,12,5,2,6,1,3,2,5,0,3,488
 , ,GRADO EN NUTRICIÓN HUMANA Y DIETÉTICA,195,Hombre,9,9,1,6,3,3,4,2,3,1,1,0,0,1,3,46
 , ,GRADO EN NUTRICIÓN HUMANA Y DIETÉTICA, ,Mujer,51,46,11,8,6,8,1,5,1,1,1,1,5,1,3,149
 , ,LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,222,Hombre,0,0,0,7,5,8,2,3,4,2,1,2,6,5,3,48
 , ,LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS, ,Mujer,0,0,0,22,32,27,26,7,8,6,5,3,23,9,6,174
 , ,LICENCIADO EN FARMACIA,1907,Hombre,0,0,49,86,94,67,71,47,34,27,20,22,67,31,25,640
 , ,LICENCIADO EN FARMACIA, ,Mujer,0,1,135,148,176,168,139,94,75,65,44,44,106,37,35,1267
FAC. FILOSOFIA Y LETRAS,4944,GRADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,70,Hombre,2,5,6,7,3,1,2,2,2,1,0,0,2,1,2,36
 , ,GRADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL, ,Mujer,10,6,5,4,4,1,0,0,0,0,1,0,1,1,1,34
 , ,GRADO EN ESTUDIOS FRANCESES,131,Hombre,3,5,8,10,1,1,1,0,0,0,0,0,1,0,0,30
 , ,GRADO EN ESTUDIOS FRANCESES, ,Mujer,40,24,17,7,1,1,2,0,2,1,0,1,2,1,2,101
 , ,GRADO EN ESTUDIOS INGLESES,287,Hombre,19,43,12,4,6,5,1,0,0,0,1,0,2,1,1,95
 , ,GRADO EN ESTUDIOS INGLESES, ,Mujer,66,71,24,12,8,3,2,1,1,1,0,1,2,0,0,192
 , ,GRADO EN ESTUDIOS ÁRABES E ISLÁMICOS,65,Hombre,2,2,5,1,5,1,2,1,2,2,0,0,3,0,1,27
 , ,GRADO EN ESTUDIOS ÁRABES E ISLÁMICOS, ,Mujer,7,6,6,5,3,3,2,3,0,0,1,1,0,0,1,38
 , ,GRADO EN FILOLOGÍA CLÁSICA,69,Hombre,6,8,3,4,0,2,1,0,0,0,0,0,0,1,0,25
 , ,GRADO EN FILOLOGÍA CLÁSICA, ,Mujer,19,13,6,3,1,0,0,0,0,0,0,0,2,0,0,44
 , ,GRADO EN FILOLOGÍA HISPÁNICA,181,Hombre,8,13,23,11,10,7,6,1,1,0,0,0,2,1,3,86
 , ,GRADO EN FILOLOGÍA HISPÁNICA, ,Mujer,34,33,11,5,2,2,4,1,0,0,0,1,1,1,0,95
 , ,GRADO EN FILOSOFÍA,135,Hombre,15,19,13,10,9,7,2,1,1,2,1,1,1,0,3,85
 , ,GRADO EN FILOSOFÍA, ,Mujer,12,17,6,3,4,1,2,2,1,0,0,0,1,0,1,50
 , ,GRADO EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,100,Hombre,12,29,7,8,5,5,2,1,1,0,0,0,0,0,3,73
 , ,GRADO EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO, ,Mujer,9,6,6,2,1,0,1,0,0,0,0,0,1,0,1,27
 , ,GRADO EN HISTORIA,285,Hombre,52,56,33,18,10,9,1,1,2,3,1,1,4,3,10,204
 , ,GRADO EN HISTORIA, ,Mujer,19,18,14,5,6,2,3,3,1,0,0,1,1,0,8,81
 , ,GRADO EN HISTORIA DEL ARTE,254,Hombre,10,24,13,7,8,2,3,1,4,3,0,1,2,0,5,83
 , ,GRADO EN HISTORIA DEL ARTE, ,Mujer,40,52,27,10,6,8,2,1,5,3,0,2,1,2,12,171
 , ,GRADO EN HISTORIA Y CIENCIAS DE LA MÚSICA,128,Hombre,11,12,11,10,5,5,1,1,4,0,1,1,4,1,2,69
 , ,GRADO EN HISTORIA Y CIENCIAS DE LA MÚSICA, ,Mujer,14,22,6,5,5,1,2,0,1,0,0,0,2,1,0,59
 , ,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,152,Hombre,5,5,10,16,8,5,2,2,1,1,0,0,1,0,1,57
 , ,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS, ,Mujer,32,22,10,15,2,1,2,2,4,1,0,0,3,1,0,95
 , ,GRADO EN LITERATURAS COMPARADAS,58,Hombre,4,3,2,4,3,1,1,1,1,1,0,1,0,0,0,22
 , ,GRADO EN LITERATURAS COMPARADAS, ,Mujer,9,9,6,3,4,2,0,0,0,1,0,1,1,0,0,36
 , ,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,328,Hombre,0,0,15,12,9,13,9,5,10,6,3,5,27,9,10,133
 , ,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL, ,Mujer,0,0,0,0,19,20,27,22,16,16,11,5,30,9,20,195
 , ,LICENCIADO EN FILOLOGÍA CLÁSICA,55,Hombre,0,0,4,5,4,4,3,1,2,0,0,0,1,0,0,24
 , ,LICENCIADO EN FILOLOGÍA CLÁSICA, ,Mujer,0,0,2,8,5,7,4,2,0,0,1,1,1,0,0,31
 , ,LICENCIADO EN FILOLOGÍA ESLAVA,33,Hombre,0,0,2,3,1,2,1,0,3,1,0,1,1,1,3,19
 , ,LICENCIADO EN FILOLOGÍA ESLAVA, ,Mujer,0,0,0,0,4,0,1,1,1,0,1,1,1,1,3,14
 , ,LICENCIADO EN FILOLOGÍA FRANCESA,100,Hombre,0,0,5,10,3,3,3,2,1,1,0,1,3,0,1,33
 , ,LICENCIADO EN FILOLOGÍA FRANCESA, ,Mujer,0,0,9,10,11,11,3,2,6,3,0,2,5,3,2,67
 , ,LICENCIADO EN FILOLOGÍA HEBREA,16,Hombre,0,1,9,4,0,1,0,0,0,0,0,0,1,0,0,16
 , ,LICENCIADO EN FILOLOGÍA HEBREA, ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,LICENCIADO EN FILOLOGÍA HISPÁNICA,533,Hombre,1,5,76,84,75,34,21,12,6,5,6,1,6,6,5,343
 , ,LICENCIADO EN FILOLOGÍA HISPÁNICA, ,Mujer,0,0,29,39,29,16,12,11,12,4,5,7,14,7,5,190
 , ,LICENCIADO EN FILOLOGÍA INGLESA,477,Hombre,0,0,23,36,22,24,14,10,7,7,4,5,8,3,2,165
 , ,LICENCIADO EN FILOLOGÍA INGLESA, ,Mujer,0,0,49,64,58,29,35,24,14,7,6,4,12,2,8,312
 , ,LICENCIADO EN FILOLOGÍA ITALIANA,10,Hombre,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4
 , ,LICENCIADO EN FILOLOGÍA ITALIANA, ,Mujer,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,6
 , ,LICENCIADO EN FILOLOGÍA PORTUGUESA,1,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 , ,LICENCIADO EN FILOLOGÍA PORTUGUESA, ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,LICENCIADO EN FILOLOGÍA ROMÁNICA,12,Hombre,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,5
 , ,LICENCIADO EN FILOLOGÍA ROMÁNICA, ,Mujer,0,0,0,0,0,0,0,1,0,2,0,1,1,1,1,7
 , ,LICENCIADO EN FILOLOGÍA ÁRABE,70,Hombre,0,0,6,6,2,2,2,2,0,0,1,2,0,0,1,24
 , ,LICENCIADO EN FILOLOGÍA ÁRABE, ,Mujer,0,0,4,1,10,4,8,2,6,3,2,2,0,2,2,46
 , ,LICENCIADO EN FILOSOFÍA,213,Hombre,0,0,7,25,23,28,14,11,9,6,3,2,13,2,7,150
 , ,LICENCIADO EN FILOSOFÍA, ,Mujer,0,0,13,10,8,9,2,3,2,4,1,2,3,2,4,63
 , ,LICENCIADO EN GEOGRAFÍA,108,Hombre,0,0,7,15,16,9,9,3,4,6,0,2,4,1,3,79
 , ,LICENCIADO EN GEOGRAFÍA, ,Mujer,0,0,2,9,4,1,3,1,1,1,1,0,1,2,3,29
 , ,LICENCIADO EN HISTORIA,513,Hombre,0,1,57,65,74,43,21,18,11,11,8,7,16,10,15,357
 , ,LICENCIADO EN HISTORIA, ,Mujer,0,0,15,29,29,16,8,10,8,7,2,5,5,4,18,156
 , ,LICENCIADO EN HISTORIA DEL ARTE,374,Hombre,0,1,9,29,14,18,16,6,10,7,6,2,14,10,12,154
 , ,LICENCIADO EN HISTORIA DEL ARTE, ,Mujer,0,0,20,33,23,15,13,16,13,5,13,13,26,4,26,220
 , ,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,96,Hombre,0,0,5,2,6,6,5,4,3,0,3,4,5,3,1,47
 , ,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA, ,Mujer,0,0,0,0,6,4,9,4,6,2,4,0,3,6,5,49
 , ,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA,90,Hombre,0,0,6,7,6,2,2,3,1,0,1,3,4,2,3,40
 , ,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA, ,Mujer,0,0,0,0,3,7,6,8,1,1,0,0,15,2,7,50
FAC. MEDICINA,1732,GRADO EN MEDICINA,507,Hombre,66,79,7,1,0,2,2,2,4,0,1,0,5,3,0,172
 , ,GRADO EN MEDICINA, ,Mujer,135,142,29,2,2,3,5,0,1,2,1,2,2,1,8,335
 , ,LICENCIADO EN MEDICINA,1225,Hombre,0,2,91,94,83,73,28,15,12,8,7,10,18,6,28,475
 , ,LICENCIADO EN MEDICINA, ,Mujer,0,2,136,149,162,177,33,22,9,8,6,2,21,13,10,750
FAC. ODONTOLOGÍA,480,GRADO EN ODONTOLOGÍA,162,Hombre,19,13,10,4,3,1,4,0,0,2,0,1,3,1,2,63
