CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , ,GRADO EN HISTORIA DEL ARTE, ,Mujer,38,22,8,6,6,3,3,1,2,0,1,0,0,1,11,102
 , ,GRADO EN HISTORIA Y CIENCIAS DE LA MÚSICA, ,Mujer,15,3,2,1,2,1,1,1,0,0,0,0,1,1,1,29
 , ,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS, ,Mujer,17,3,10,2,1,3,2,1,0,0,0,0,3,2,1,45
 , ,GRADO EN LITERATURAS COMPARADAS, ,Mujer,6,2,2,2,1,1,0,1,0,0,1,0,1,1,0,18
 , ,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL, ,Mujer,0,0,0,23,25,44,38,25,25,15,13,18,38,14,32,310
 , ,LICENCIADO EN FILOLOGÍA CLÁSICA, ,Mujer,0,5,7,6,8,5,2,0,1,2,1,0,1,0,1,39
 , ,LICENCIADO EN FILOLOGÍA ESLAVA, ,Mujer,0,0,1,4,0,3,3,2,0,1,1,2,1,2,2,22
 , ,LICENCIADO EN FILOLOGÍA FRANCESA, ,Mujer,0,10,12,12,14,6,6,8,6,0,2,3,5,2,2,88
 , ,LICENCIADO EN FILOLOGÍA HEBREA, ,Mujer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
 , ,LICENCIADO EN FILOLOGÍA HISPÁNICA, ,Mujer,0,32,40,29,23,12,13,12,6,5,8,8,12,4,10,214
 , ,LICENCIADO EN FILOLOGÍA INGLESA, ,Mujer,0,53,67,63,49,48,37,23,9,9,8,5,14,2,6,393
 , ,LICENCIADO EN FILOLOGÍA ITALIANA, ,Mujer,0,0,0,0,0,1,0,1,0,3,0,0,3,0,2,10
 , ,LICENCIADO EN FILOLOGÍA PORTUGUESA, ,Mujer,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3
 , ,LICENCIADO EN FILOLOGÍA ROMÁNICA, ,Mujer,0,0,0,0,2,2,2,0,1,0,2,0,2,1,1,13
 , ,LICENCIADO EN FILOLOGÍA ÁRABE, ,Mujer,0,2,1,12,7,13,5,12,5,3,2,0,2,3,7,74
 , ,LICENCIADO EN FILOSOFÍA, ,Mujer,0,15,9,10,12,5,9,3,6,1,4,1,5,1,5,86
 , ,LICENCIADO EN GEOGRAFÍA, ,Mujer,0,2,9,4,2,4,1,1,1,1,0,0,1,1,2,29
 , ,LICENCIADO EN HISTORIA, ,Mujer,0,19,30,29,24,18,12,12,7,7,5,4,6,8,16,197
 , ,LICENCIADO EN HISTORIA DEL ARTE, ,Mujer,0,23,36,27,31,25,23,18,7,13,15,7,27,7,28,287
 , ,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA, ,Mujer,0,0,0,7,7,14,9,6,6,5,2,0,4,6,5,71
 , ,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA, ,Mujer,0,0,0,3,10,7,9,5,4,1,0,3,14,4,7,67
 , ,GRADO EN MEDICINA, ,Mujer,122,18,1,2,0,3,0,1,1,0,1,0,0,0,3,152
 , ,LICENCIADO EN MEDICINA, ,Mujer,2,136,146,162,177,155,39,11,14,10,3,11,20,15,9,910
 , ,GRADO EN ODONTOLOGÍA, ,Mujer,22,5,7,5,3,1,0,2,2,0,0,0,5,0,2,54
 , ,LICENCIADO EN ODONTOLOGÍA, ,Mujer,0,47,53,58,59,17,10,6,3,0,0,3,6,2,2,266
 , ,DIPLOMADO EN LOGOPEDIA, ,Mujer,0,26,33,24,10,12,10,9,6,2,3,3,6,3,1,148
 , ,GRADO EN LOGOPEDIA, ,Mujer,24,4,3,8,3,3,1,2,2,1,1,0,1,2,0,55
 , ,GRADO EN PSICOLOGÍA, ,Mujer,150,31,11,10,5,6,2,5,0,1,0,0,3,2,8,234
 , ,LICENCIADO EN PSICOLOGÍA, ,Mujer,1,155,181,174,189,133,71,56,50,26,16,12,27,25,23,1139
 , ,GRADO EN TRADUCCIÓN E INTERPRETACIÓN, ,Mujer,137,17,11,4,6,6,3,2,3,1,0,0,2,2,2,196
 , ,LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN, ,Mujer,1,137,163,170,132,86,49,50,26,14,12,11,39,21,12,923
 , ,ARQUITECTO, ,Mujer,0,56,65,73,73,93,77,79,59,45,26,19,35,6,0,706
 , ,GRADO EN ARQUITECTURA, ,Mujer,57,5,1,0,0,1,1,0,0,0,0,0,1,1,0,67
 , ,GRADO EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN, ,Mujer,15,12,1,1,0,1,0,0,0,0,0,0,1,0,1,32
 , ,GRADO EN INGENIERÍA INFORMÁTICA, ,Mujer,19,15,3,0,0,3,1,1,0,1,2,0,1,0,1,47
 , ,INGENIERO DE TELECOMUNICACIÓN, ,Mujer,0,15,18,18,11,20,9,6,3,1,1,0,0,0,0,102
 , ,INGENIERO EN INFORMÁTICA, ,Mujer,0,5,7,6,5,14,17,14,8,8,3,0,4,1,2,94
 , ,INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN, ,Mujer,0,0,4,10,14,10,7,4,2,3,2,1,4,1,2,64
 , ,INGENIERO TÉCNICO EN INFORMÁTICA DE SISTEMAS, ,Mujer,0,1,4,4,10,3,1,4,3,1,1,2,3,1,0,38
 , ,GRADO EN INGENIERÍA CIVIL, ,Mujer,44,5,0,1,0,0,2,0,0,0,0,0,0,0,0,52
 , ,"INGENIERO/A DE CAMINOS, CANALES Y PUERTOS", ,Mujer,2,47,50,57,55,48,52,42,20,11,4,2,9,7,4,410
 , ,ARQUITECTURA TÉCNICA, ,Mujer,0,49,80,103,88,63,68,50,23,20,22,9,48,12,5,640
 , ,GRADO EN INGENIERÍA DE EDIFICACIÓN, ,Mujer,55,15,19,19,10,2,4,2,3,1,0,1,0,1,0,132
 , ,DIPLOMADO EN BIBLIOTECONOMÍA Y DOCUMENTACIÓN, ,Mujer,0,3,10,8,8,4,9,3,2,1,2,1,8,3,6,68
 , ,GRADO EN COMUNICACIÓN AUDIOVISUAL, ,Mujer,12,1,3,1,2,1,3,1,0,0,0,0,0,0,0,24
 , ,GRADO EN INFORMACIÓN Y DOCUMENTACIÓN, ,Mujer,14,6,5,3,2,3,1,1,1,0,0,1,0,0,4,41
 , ,LICENCIADO EN COMUNICACIÓN AUDIOVISUAL, ,Mujer,0,0,0,2,8,11,11,11,10,3,6,4,6,3,0,75
 , ,LICENCIADO EN DOCUMENTACIÓN, ,Mujer,0,0,0,5,7,12,6,6,8,2,5,0,8,4,11,74
 , ,DIPLOMADO EN ENFERMERÍA, ,Mujer,0,49,67,30,25,21,14,10,12,10,4,6,17,10,12,287
 , ,DIPLOMADO EN FISIOTERAPIA, ,Mujer,0,19,21,10,6,9,6,3,2,3,0,1,5,4,4,93
 , ,DIPLOMADO EN TERAPIA OCUPACIONAL, ,Mujer,0,27,29,17,8,12,4,5,4,6,4,3,1,2,2,124
 , ,GRADO EN ENFERMERÍA, ,Mujer,52,8,7,7,5,5,2,0,0,2,2,1,2,2,10,105
 , ,GRADO EN FISIOTERAPIA, ,Mujer,10,2,6,1,2,1,0,1,1,1,1,0,0,0,2,28
 , ,GRADO EN TERAPIA OCUPACIONAL, ,Mujer,13,0,9,9,3,2,3,1,1,0,0,1,4,1,2,49
 , ,DIPLOMADO EN RELACIONES LABORALES, ,Mujer,0,44,107,123,124,105,76,51,32,34,16,19,72,24,17,844
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS, ,Mujer,104,60,24,18,14,11,10,5,1,0,1,0,2,1,6,257
 , ,LICENCIADO EN CIENCIAS DEL TRABAJO, ,Mujer,0,0,1,19,37,47,36,20,20,8,9,10,13,9,20,249
 , ,DIPLOMADO EN TRABAJO SOCIAL, ,Mujer,0,52,75,39,36,42,29,14,21,12,9,8,21,7,18,383
 , ,GRADO EN TRABAJO SOCIAL, ,Mujer,60,11,15,19,10,6,5,4,5,2,1,0,0,0,4,142
 , ,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""", ,Mujer,0,4,4,12,7,3,3,2,3,2,1,2,4,0,1,48
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA), ,Mujer,7,3,1,1,0,0,1,1,1,0,1,0,1,0,0,17
 , ,GRADO EN INGENIERÍA INFORMÁTICA (CEUTA), ,Mujer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (CEUTA), ,Mujer,10,8,3,6,5,1,1,3,1,2,1,0,3,2,1,47
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (CEUTA), ,Mujer,33,5,3,4,2,4,1,0,0,0,0,0,4,0,0,56
 , ,"INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN ""CEUTA""", ,Mujer,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,4
 , ,"LICENCIADO EN PSICOPEDAGOGÍA ""CEUTA""", ,Mujer,0,0,0,2,2,6,2,3,5,3,2,2,10,3,6,46
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""CEUTA""", ,Mujer,0,2,0,3,2,1,1,1,1,0,1,0,3,1,2,18
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""CEUTA""", ,Mujer,0,3,2,2,0,1,2,4,3,2,3,0,4,2,2,30
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""CEUTA""", ,Mujer,0,3,2,3,2,2,1,1,0,0,1,0,3,0,0,18
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""CEUTA""", ,Mujer,0,19,15,10,12,8,7,7,7,4,2,2,12,7,2,114
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""CEUTA""", ,Mujer,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,4
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""CEUTA""", ,Mujer,0,8,9,8,8,4,4,0,2,2,3,0,9,7,2,66
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""CEUTA""", ,Mujer,0,1,0,0,1,3,1,1,2,1,2,0,4,2,2,20
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (MELILLA), ,Mujer,14,4,4,5,1,2,2,0,1,1,2,0,1,1,0,38
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (MELILLA), ,Mujer,25,6,4,0,2,0,2,1,0,0,1,0,1,1,0,43
 , ,"LICENCIADO EN PSICOPEDAGOGÍA ""MELILLA""", ,Mujer,0,0,0,4,10,6,4,6,0,4,0,0,9,3,5,51
 , ,"MAESTRO (ESPECIALIDAD DE EDUCACIÓN INFANTIL) ""MELILLA""", ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""MELILLA""", ,Mujer,0,1,0,2,1,1,3,4,1,0,0,0,0,0,0,13
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""MELILLA""", ,Mujer,0,1,1,1,3,1,3,3,0,1,3,1,3,0,0,21
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""MELILLA""", ,Mujer,0,3,1,2,1,3,1,0,0,0,1,0,0,0,0,12
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""MELILLA""", ,Mujer,0,5,11,11,14,10,10,8,2,1,1,2,3,3,1,82
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""MELILLA""", ,Mujer,0,0,2,3,1,2,1,1,0,0,0,0,0,0,0,10
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""MELILLA""", ,Mujer,0,10,17,17,5,5,3,1,2,2,2,0,5,3,3,75
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""MELILLA""", ,Mujer,0,3,2,0,4,1,3,4,1,3,1,0,1,1,1,25
 , ,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""", ,Mujer,0,9,11,12,8,7,3,2,2,2,2,2,7,1,0,68
 , ,"DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA ""MELILLA""", ,Mujer,0,0,2,0,0,1,0,2,0,2,0,0,1,2,1,11
 , ,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""", ,Mujer,0,1,3,1,1,2,1,4,1,0,0,0,3,3,2,22
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA), ,Mujer,12,4,2,3,1,1,1,0,1,0,1,0,1,0,0,27
 , ,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA), ,Mujer,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,8
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA), ,Mujer,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,7
 , ,"DIPLOMADO EN ENFERMERÍA ""MELILLA""", ,Mujer,0,23,28,11,12,7,5,5,4,7,2,2,4,5,6,121
 , ,GRADO EN ENFERMERÍA (MELILLA), ,Mujer,7,2,10,7,10,4,0,3,1,1,1,1,2,1,1,51
 , ,"DIPLOMADO EN ENFERMERÍA ""CEUTA""", ,Mujer,0,25,50,35,33,22,20,22,11,10,4,2,12,10,11,267
 , ,GRADO EN ENFERMERÍA (CEUTA), ,Mujer,23,6,13,19,6,7,6,7,3,1,2,1,1,2,1,98
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (LA INMACULADA), ,Mujer,58,40,23,4,6,6,0,3,1,2,0,1,1,1,1,147
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (LA INMACULADA), ,Mujer,68,39,17,12,9,3,3,2,0,2,1,1,3,1,1,162
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE (LA INMACULADA), ,Mujer,0,11,9,7,2,3,1,0,0,1,0,1,2,1,1,39
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL (LA INMACULADA), ,Mujer,0,11,17,9,11,5,3,3,3,1,1,0,3,2,2,71
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA (LA INMACULADA), ,Mujer,0,14,11,13,4,2,4,2,1,0,0,1,2,0,1,55
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL (LA INMACULADA), ,Mujer,0,22,56,37,18,19,21,9,3,6,3,8,20,9,5,236
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL (LA INMACULADA), ,Mujer,0,7,5,5,4,1,1,2,3,1,2,1,4,1,0,37
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA (LA INMACULADA), ,Mujer,0,14,26,25,11,8,9,1,3,1,2,2,3,0,1,106
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (LA INMACULADA), ,Mujer,0,3,8,11,6,3,5,5,3,3,2,2,4,2,2,59
 , ,DIPLOMADO EN ENFERMERÍA (VIRGEN DE LAS NIEVES), ,Mujer,0,24,26,5,10,3,4,3,1,2,0,1,3,2,4,88
 , ,GRADO EN ENFERMERÍA (VIRGEN DE LA NIEVES), ,Mujer,11,3,11,6,1,2,1,4,1,1,1,0,3,2,3,50
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO, ,Mujer,82,4,2,0,0,0,0,0,0,0,0,0,0,0,1,89
 , ,LDO. EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO, ,Mujer,0,78,89,60,80,60,39,25,14,4,0,0,0,1,0,450
 , ,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN Y DERECHO, ,Mujer,43,3,3,3,1,1,0,0,0,0,0,0,0,1,1,56
 , ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMON. Y DERECHO, ,Mujer,0,31,33,25,29,32,28,16,2,3,0,0,4,1,0,204
