CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS, ,Mujer,113,138,29,17,15,8,2,3,1,0,0,2,1,1,3,333
 , ,GRADO EN ECONOMÍA, ,Mujer,86,93,33,20,11,9,2,0,0,2,0,0,1,0,0,257
 , ,GRADO EN FINANZAS Y CONTABILIDAD, ,Mujer,22,39,27,14,18,8,11,4,6,3,0,0,0,1,0,153
 , ,GRADO EN MARKETING E INVESTIGACIÓN DE MERCADOS, ,Mujer,42,45,14,9,3,2,5,3,1,2,0,0,0,1,1,128
 , ,GRADO EN TURISMO, ,Mujer,39,62,30,15,8,13,5,5,1,1,2,0,2,0,1,184
 , ,LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS, ,Mujer,0,0,125,161,173,151,99,63,35,24,18,16,44,6,15,930
 , ,LICENCIADO EN ECONOMÍA, ,Mujer,0,1,55,85,88,80,61,46,29,31,27,6,31,0,2,542
 , ,LICENCIADO EN INVESTIGACIÓN Y TÉCNICAS DE MERCADO, ,Mujer,0,0,0,0,1,11,13,12,7,6,4,4,6,2,0,66
 , ,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN, ,Mujer,23,47,16,7,5,2,1,1,0,0,0,0,0,1,6,109
 , ,GRADO EN SOCIOLOGÍA, ,Mujer,34,50,31,12,9,6,2,1,2,0,0,0,1,0,6,154
 , ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN, ,Mujer,0,0,6,15,25,18,13,11,12,6,2,4,13,10,6,141
 , ,LICENCIADO EN SOCIOLOGÍA, ,Mujer,0,0,17,15,33,26,16,25,16,10,5,4,9,7,5,188
 , ,GRADO EN DERECHO, ,Mujer,185,234,68,24,15,9,2,2,4,3,3,1,7,2,11,570
 , ,LICENCIADO EN DERECHO, ,Mujer,0,0,177,182,211,145,102,67,62,33,29,24,63,49,86,1230
 , ,LICENCIATURA EN DERECHO, ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 , ,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA, ,Mujer,0,0,26,12,17,16,14,8,12,10,3,0,12,1,4,135
 , ,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS, ,Mujer,19,6,4,4,2,1,1,1,0,2,0,1,2,0,0,43
 , ,GRADO EN FARMACIA, ,Mujer,180,175,56,25,13,12,5,2,6,1,3,2,5,0,3,488
 , ,GRADO EN NUTRICIÓN HUMANA Y DIETÉTICA, ,Mujer,51,46,11,8,6,8,1,5,1,1,1,1,5,1,3,149
 , ,LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS, ,Mujer,0,0,0,22,32,27,26,7,8,6,5,3,23,9,6,174
 , ,LICENCIADO EN FARMACIA, ,Mujer,0,1,135,148,176,168,139,94,75,65,44,44,106,37,35,1267
 , ,GRADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL, ,Mujer,10,6,5,4,4,1,0,0,0,0,1,0,1,1,1,34
 , ,GRADO EN ESTUDIOS FRANCESES, ,Mujer,40,24,17,7,1,1,2,0,2,1,0,1,2,1,2,101
 , ,GRADO EN ESTUDIOS INGLESES, ,Mujer,66,71,24,12,8,3,2,1,1,1,0,1,2,0,0,192
 , ,GRADO EN ESTUDIOS ÁRABES E ISLÁMICOS, ,Mujer,7,6,6,5,3,3,2,3,0,0,1,1,0,0,1,38
 , ,GRADO EN FILOLOGÍA CLÁSICA, ,Mujer,19,13,6,3,1,0,0,0,0,0,0,0,2,0,0,44
 , ,GRADO EN FILOLOGÍA HISPÁNICA, ,Mujer,34,33,11,5,2,2,4,1,0,0,0,1,1,1,0,95
 , ,GRADO EN FILOSOFÍA, ,Mujer,12,17,6,3,4,1,2,2,1,0,0,0,1,0,1,50
 , ,GRADO EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO, ,Mujer,9,6,6,2,1,0,1,0,0,0,0,0,1,0,1,27
 , ,GRADO EN HISTORIA, ,Mujer,19,18,14,5,6,2,3,3,1,0,0,1,1,0,8,81
 , ,GRADO EN HISTORIA DEL ARTE, ,Mujer,40,52,27,10,6,8,2,1,5,3,0,2,1,2,12,171
 , ,GRADO EN HISTORIA Y CIENCIAS DE LA MÚSICA, ,Mujer,14,22,6,5,5,1,2,0,1,0,0,0,2,1,0,59
 , ,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS, ,Mujer,32,22,10,15,2,1,2,2,4,1,0,0,3,1,0,95
 , ,GRADO EN LITERATURAS COMPARADAS, ,Mujer,9,9,6,3,4,2,0,0,0,1,0,1,1,0,0,36
 , ,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL, ,Mujer,0,0,0,0,19,20,27,22,16,16,11,5,30,9,20,195
 , ,LICENCIADO EN FILOLOGÍA CLÁSICA, ,Mujer,0,0,2,8,5,7,4,2,0,0,1,1,1,0,0,31
 , ,LICENCIADO EN FILOLOGÍA ESLAVA, ,Mujer,0,0,0,0,4,0,1,1,1,0,1,1,1,1,3,14
 , ,LICENCIADO EN FILOLOGÍA FRANCESA, ,Mujer,0,0,9,10,11,11,3,2,6,3,0,2,5,3,2,67
 , ,LICENCIADO EN FILOLOGÍA HEBREA, ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,LICENCIADO EN FILOLOGÍA HISPÁNICA, ,Mujer,0,0,29,39,29,16,12,11,12,4,5,7,14,7,5,190
 , ,LICENCIADO EN FILOLOGÍA INGLESA, ,Mujer,0,0,49,64,58,29,35,24,14,7,6,4,12,2,8,312
 , ,LICENCIADO EN FILOLOGÍA ITALIANA, ,Mujer,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,6
 , ,LICENCIADO EN FILOLOGÍA PORTUGUESA, ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,LICENCIADO EN FILOLOGÍA ROMÁNICA, ,Mujer,0,0,0,0,0,0,0,1,0,2,0,1,1,1,1,7
 , ,LICENCIADO EN FILOLOGÍA ÁRABE, ,Mujer,0,0,4,1,10,4,8,2,6,3,2,2,0,2,2,46
 , ,LICENCIADO EN FILOSOFÍA, ,Mujer,0,0,13,10,8,9,2,3,2,4,1,2,3,2,4,63
 , ,LICENCIADO EN GEOGRAFÍA, ,Mujer,0,0,2,9,4,1,3,1,1,1,1,0,1,2,3,29
 , ,LICENCIADO EN HISTORIA, ,Mujer,0,0,15,29,29,16,8,10,8,7,2,5,5,4,18,156
 , ,LICENCIADO EN HISTORIA DEL ARTE, ,Mujer,0,0,20,33,23,15,13,16,13,5,13,13,26,4,26,220
 , ,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA, ,Mujer,0,0,0,0,6,4,9,4,6,2,4,0,3,6,5,49
 , ,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA, ,Mujer,0,0,0,0,3,7,6,8,1,1,0,0,15,2,7,50
 , ,GRADO EN MEDICINA, ,Mujer,135,142,29,2,2,3,5,0,1,2,1,2,2,1,8,335
 , ,LICENCIADO EN MEDICINA, ,Mujer,0,2,136,149,162,177,33,22,9,8,6,2,21,13,10,750
 , ,GRADO EN ODONTOLOGÍA, ,Mujer,35,27,9,7,5,3,2,1,2,2,0,1,4,0,1,99
 , ,LICENCIADO EN ODONTOLOGÍA, ,Mujer,0,0,47,52,59,24,8,5,3,5,0,0,6,2,2,213
 , ,DIPLOMADO EN LOGOPEDIA, ,Mujer,0,0,26,14,16,10,6,8,7,2,4,2,3,3,1,102
 , ,GRADO EN LOGOPEDIA, ,Mujer,27,24,13,13,12,4,2,1,1,3,2,1,3,1,4,111
 , ,GRADO EN PSICOLOGÍA, ,Mujer,158,174,40,22,14,13,10,4,8,3,3,0,3,8,11,471
 , ,LICENCIADO EN PSICOLOGÍA, ,Mujer,0,1,152,170,177,115,81,36,38,36,14,15,27,19,24,905
 , ,GRADO EN TRADUCCIÓN E INTERPRETACIÓN, ,Mujer,163,148,28,18,8,6,7,3,3,3,1,1,8,3,4,404
 , ,LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN, ,Mujer,0,2,130,148,121,74,47,26,36,19,9,6,29,19,15,681
 , ,ARQUITECTO, ,Mujer,0,0,43,68,81,86,92,66,60,42,32,21,41,6,2,640
 , ,GRADO EN ARQUITECTURA, ,Mujer,60,52,17,9,2,3,2,1,1,0,1,0,1,1,1,151
 , ,GRADO EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN, ,Mujer,19,15,18,4,1,0,1,0,1,0,0,0,1,0,1,61
 , ,GRADO EN INGENIERÍA INFORMÁTICA, ,Mujer,17,16,32,28,9,9,9,1,1,2,1,2,7,0,2,136
 , ,INGENIERO DE TELECOMUNICACIÓN, ,Mujer,0,0,13,18,18,9,14,4,5,2,0,1,0,0,0,84
 , ,INGENIERO EN INFORMÁTICA, ,Mujer,0,0,2,3,5,5,10,11,9,7,5,2,2,0,2,63
 , ,INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN, ,Mujer,0,0,0,2,10,12,4,5,1,2,1,1,4,2,2,46
 , ,INGENIERO TÉCNICO EN INFORMÁTICA DE SISTEMAS, ,Mujer,0,0,0,4,3,10,2,1,3,1,1,1,5,1,0,32
 , ,GRADO EN INGENIERÍA CIVIL, ,Mujer,50,44,22,8,8,5,0,2,0,0,0,0,0,0,0,139
 , ,"INGENIERO/A DE CAMINOS, CANALES Y PUERTOS", ,Mujer,0,1,30,41,51,50,38,36,31,10,8,4,7,7,1,315
 , ,"INGENIERÍA SUPERIOR DE CAMINOS, CANALES Y PUERTOS", ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,ARQUITECTURA TÉCNICA, ,Mujer,0,0,47,76,77,52,41,40,32,17,13,17,33,14,5,464
 , ,GRADO EN INGENIERIA EN EDIFICACIÓN (CURSO PUENTE), ,Mujer,0,0,0,0,9,4,1,6,3,0,1,1,4,0,0,29
 , ,GRADO EN INGENIERÍA DE EDIFICACIÓN, ,Mujer,46,67,32,31,39,19,8,9,8,5,2,1,7,2,1,277
 , ,DIPLOMADO EN BIBLIOTECONOMÍA Y DOCUMENTACIÓN, ,Mujer,0,0,3,6,4,4,3,5,2,2,0,1,4,5,5,44
 , ,GRADO EN COMUNICACIÓN AUDIOVISUAL, ,Mujer,34,15,3,5,2,2,0,4,1,0,0,0,0,1,0,67
 , ,GRADO EN INFORMACIÓN Y DOCUMENTACIÓN, ,Mujer,21,21,10,6,9,6,4,3,3,1,0,0,1,0,5,90
 , ,LICENCIADO EN COMUNICACIÓN AUDIOVISUAL, ,Mujer,0,0,0,0,2,3,5,6,5,5,2,5,7,2,0,42
 , ,LICENCIADO EN DOCUMENTACIÓN, ,Mujer,0,0,0,12,13,6,6,5,9,7,3,4,5,2,15,87
 , ,DIPLOMADO EN ENFERMERÍA, ,Mujer,0,0,49,17,20,15,12,10,6,7,5,3,16,5,14,179
 , ,DIPLOMADO EN FISIOTERAPIA, ,Mujer,0,0,18,8,4,5,4,3,1,1,3,0,4,1,3,55
 , ,DIPLOMADO EN TERAPIA OCUPACIONAL, ,Mujer,0,0,27,6,8,5,10,2,3,0,3,2,2,2,1,71
 , ,GRADO EN ENFERMERÍA, ,Mujer,67,49,16,13,15,4,5,3,1,0,3,3,6,3,17,205
 , ,GRADO EN FISIOTERAPIA, ,Mujer,22,14,3,7,1,1,2,1,1,3,1,0,1,1,2,60
 , ,GRADO EN TERAPIA OCUPACIONAL, ,Mujer,23,17,6,12,13,3,2,6,1,2,0,0,3,2,4,94
 , ,DIPLOMADO EN RELACIONES LABORALES, ,Mujer,0,0,43,84,96,79,79,47,39,21,22,13,73,33,16,645
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS, ,Mujer,65,136,69,45,27,21,11,13,8,1,0,1,6,3,14,420
 , ,LICENCIADO EN CIENCIAS DEL TRABAJO, ,Mujer,0,0,0,17,44,40,38,19,18,12,5,8,15,9,22,247
 , ,DIPLOMADO EN TRABAJO SOCIAL, ,Mujer,0,0,51,35,20,21,27,18,10,10,8,10,16,5,10,241
 , ,GRADO EN TRABAJO SOCIAL, ,Mujer,44,81,27,29,32,14,11,6,6,9,3,3,2,1,10,278
 , ,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""", ,Mujer,0,0,4,3,6,3,2,2,2,1,1,1,3,0,0,28
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA), ,Mujer,7,10,2,3,3,1,0,0,0,0,0,0,2,0,0,28
 , ,GRADO EN EDUCACIÓN SOCIAL (CEUTA), ,Mujer,7,7,8,9,4,7,3,3,0,3,0,0,6,1,3,61
 , ,GRADO EN INGENIERÍA INFORMÁTICA (CEUTA), ,Mujer,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (CEUTA), ,Mujer,11,17,10,5,7,6,3,4,4,3,2,1,4,3,1,81
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (CEUTA), ,Mujer,19,30,9,4,4,5,4,0,1,1,0,1,2,1,0,81
 , ,"INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN ""CEUTA""", ,Mujer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
 , ,"LICENCIADO EN PSICOPEDAGOGÍA ""CEUTA""", ,Mujer,0,0,0,0,2,1,4,1,1,1,3,1,7,1,4,26
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""CEUTA""", ,Mujer,0,0,2,0,0,1,1,0,0,0,0,0,2,2,0,8
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""CEUTA""", ,Mujer,0,0,3,1,1,0,1,1,1,3,1,1,3,3,1,20
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""CEUTA""", ,Mujer,0,0,3,0,2,1,1,0,1,0,0,0,3,0,0,11
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""CEUTA""", ,Mujer,0,0,19,8,2,4,6,6,7,6,3,2,10,9,3,85
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""CEUTA""", ,Mujer,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""CEUTA""", ,Mujer,0,0,8,7,4,3,2,3,0,0,1,3,4,7,1,43
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""CEUTA""", ,Mujer,0,0,1,0,0,0,2,1,1,2,1,2,2,1,2,15
 , ,GRADO EN EDUCACIÓN SOCIAL (MELILLA), ,Mujer,9,6,8,3,6,0,2,2,0,1,0,0,0,0,1,38
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (MELILLA), ,Mujer,9,18,7,7,2,4,3,1,1,2,1,1,2,3,0,61
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (MELILLA), ,Mujer,17,33,6,5,4,2,0,2,1,0,0,1,1,1,3,76
 , ,"LICENCIADO EN PSICOPEDAGOGÍA ""MELILLA""", ,Mujer,0,0,0,3,7,12,8,4,2,0,5,2,7,6,4,60
 , ,"MAESTRO (ESPECIALIDAD DE EDUCACIÓN INFANTIL) ""MELILLA""", ,Mujer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""MELILLA""", ,Mujer,0,0,1,0,1,1,1,2,1,0,0,0,1,0,0,8
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""MELILLA""", ,Mujer,0,0,1,0,2,3,0,1,3,0,1,2,5,0,0,18
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""MELILLA""", ,Mujer,0,0,3,1,2,1,2,1,0,0,0,0,1,0,0,11
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""MELILLA""", ,Mujer,0,0,5,7,4,8,6,3,9,2,0,3,4,3,2,56
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""MELILLA""", ,Mujer,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,5
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""MELILLA""", ,Mujer,0,0,10,12,10,4,4,3,1,2,1,3,7,1,4,62
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""MELILLA""", ,Mujer,0,0,3,1,0,2,0,3,5,0,3,1,0,1,1,20
 , ,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""", ,Mujer,0,0,8,10,9,5,6,1,2,3,1,0,10,2,0,57
 , ,"DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA ""MELILLA""", ,Mujer,0,0,0,2,0,0,0,0,1,0,2,0,0,1,1,7
 , ,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""", ,Mujer,0,0,1,3,1,0,1,1,3,0,0,0,0,1,4,15
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA), ,Mujer,8,14,5,0,3,1,1,1,1,0,2,0,0,0,0,36
 , ,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA), ,Mujer,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA), ,Mujer,1,6,0,1,1,0,1,0,0,0,0,0,1,0,0,11
 , ,"DIPLOMADO EN ENFERMERÍA ""MELILLA""", ,Mujer,0,0,23,16,6,8,3,3,3,0,4,1,4,3,4,78
 , ,GRADO EN ENFERMERÍA (MELILLA), ,Mujer,18,11,6,13,7,10,5,1,5,3,2,1,4,4,4,94
 , ,"DIPLOMADO EN ENFERMERÍA ""CEUTA""", ,Mujer,0,0,24,25,24,24,13,12,17,6,9,4,11,7,12,188
 , ,GRADO EN ENFERMERÍA (CEUTA), ,Mujer,32,34,23,21,29,10,9,6,6,3,2,2,3,3,2,185
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (LA INMACULADA), ,Mujer,44,73,47,33,14,13,7,2,4,1,3,4,4,1,3,253
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (LA INMACULADA), ,Mujer,40,76,45,26,13,13,3,4,2,1,1,1,3,5,2,235
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE (LA INMACULADA), ,Mujer,0,0,11,7,2,1,1,0,0,0,0,0,1,0,1,24
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL (LA INMACULADA), ,Mujer,0,0,11,12,4,5,3,1,1,2,1,0,1,0,0,41
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA (LA INMACULADA), ,Mujer,0,0,14,3,6,2,1,2,0,0,0,1,2,0,0,31
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL (LA INMACULADA), ,Mujer,0,0,22,20,15,11,10,11,4,2,2,0,11,6,3,117
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL (LA INMACULADA), ,Mujer,0,0,7,4,4,1,1,0,1,0,1,0,5,1,0,25
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA (LA INMACULADA), ,Mujer,0,0,14,18,11,5,5,5,1,3,1,2,3,0,0,68
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (LA INMACULADA), ,Mujer,0,0,3,6,4,2,0,1,4,1,3,1,2,2,2,31
 , ,DIPLOMADO EN ENFERMERÍA (VIRGEN DE LAS NIEVES), ,Mujer,0,0,24,1,3,5,2,2,1,0,1,0,2,0,3,44
 , ,GRADO EN ENFERMERÍA (VIRGEN DE LA NIEVES), ,Mujer,17,15,9,14,8,3,2,1,5,1,2,1,3,0,6,87
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO, ,Mujer,81,73,7,3,0,0,0,0,0,0,1,0,0,0,2,167
 , ,LDO. EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO, ,Mujer,0,0,75,84,60,79,39,19,18,8,3,0,0,1,0,386
 , ,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN Y DERECHO, ,Mujer,50,42,8,8,3,2,2,0,2,0,0,0,0,0,0,117
 , ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMON. Y DERECHO, ,Mujer,0,0,27,30,21,29,23,17,13,2,1,0,2,1,0,166
 , ,GRADO EN ING. INFORMÁTICA Y MATEMÁTICAS, ,Mujer,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15
