CENTRO,TOTAL CENTRO,TITULACIÓN,TOTAL TITULAC,SEXO,<=18,19,20,21,22,23,24,25,26,27,28,29,30-34,35-39,>=40,TOTAL SEXO
 , ,GRADO EN EDUCACIÓN SOCIAL,243,Hombre,5,6,6,4,3,5,2,2,4,1,1,1,0,0,1,41
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL,579,Hombre,2,4,4,2,1,1,3,3,0,2,1,0,1,1,1,26
 , ,GRADO EN MAESTRO DE EDUCACIÓN PRIMARIA (BILINGÜE),67,Hombre,6,3,0,1,0,0,1,1,0,0,0,1,1,0,0,14
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA,1295,Hombre,93,177,90,56,39,29,20,11,9,9,1,1,16,6,1,558
 , ,GRADO EN PEDAGOGÍA,216,Hombre,5,10,5,5,5,3,1,0,0,0,0,1,2,0,2,39
 , ,LICENCIADO EN PEDAGOGÍA,733,Hombre,0,0,5,23,31,21,17,18,9,8,2,3,9,3,3,152
 , ,LICENCIADO EN PSICOPEDAGOGÍA,579,Hombre,0,0,0,13,25,28,12,13,15,4,3,2,19,10,4,148
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE,121,Hombre,0,0,0,0,0,2,1,3,1,0,1,0,2,2,2,14
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL,124,Hombre,0,0,0,4,1,4,2,4,1,0,1,1,1,0,4,23
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA,235,Hombre,0,1,38,18,12,15,18,12,7,9,10,6,10,5,5,166
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL,263,Hombre,0,0,2,0,2,1,0,1,0,2,1,0,2,1,0,12
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL,190,Hombre,0,0,11,17,11,9,6,6,10,3,6,3,8,5,2,97
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA,458,Hombre,0,0,21,8,24,13,9,10,2,5,2,7,19,5,1,126
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA,303,Hombre,0,1,7,6,5,10,6,6,6,6,6,5,11,5,1,81
FAC. CC. ECONOMICAS EMPRESAR.,6354,DIPLOMADO EN CIENCIAS EMPRESARIALES,1007,Hombre,0,6,35,66,58,52,42,50,35,38,18,17,46,14,12,489
 , ,DIPLOMADO EN TURISMO,413,Hombre,0,0,12,29,19,15,12,4,13,4,3,1,5,1,1,119
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,620,Hombre,88,70,50,33,14,9,4,2,3,3,0,3,3,1,4,287
 , ,GRADO EN ECONOMÍA,521,Hombre,37,96,59,26,17,7,6,8,3,1,0,1,0,1,2,264
 , ,GRADO EN FINANZAS Y CONTABILIDAD,263,Hombre,10,22,23,12,9,10,7,6,2,2,1,1,1,1,3,110
 , ,GRADO EN MARKETING E INVESTIGACIÓN DE MERCADOS,255,Hombre,19,47,16,15,9,10,3,0,1,3,0,1,0,0,3,127
 , ,GRADO EN TURISMO,286,Hombre,15,24,11,14,11,9,4,1,1,5,2,0,3,1,1,102
 , ,LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,1694,Hombre,0,4,74,138,142,106,84,64,41,21,16,11,46,8,9,764
 , ,LICENCIADO EN ECONOMÍA,1143,Hombre,0,0,38,74,88,85,79,74,35,34,24,20,40,8,2,601
 , ,LICENCIADO EN INVESTIGACIÓN Y TÉCNICAS DE MERCADO,152,Hombre,0,1,5,3,6,11,14,11,8,6,5,6,6,3,1,86
FAC. CC. POLÍTICAS SOCIOLOGÍA,1418,GRADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,303,Hombre,32,35,29,24,21,13,10,5,5,0,0,2,5,1,12,194
 , ,GRADO EN SOCIOLOGÍA,255,Hombre,11,24,21,13,11,3,6,2,3,2,0,0,1,1,3,101
 , ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,479,Hombre,0,5,47,58,66,45,26,15,10,11,2,4,24,14,11,338
 , ,LICENCIADO EN SOCIOLOGÍA,381,Hombre,1,1,23,34,25,24,24,21,12,5,4,1,11,2,5,193
FAC. DERECHO,3344,GRADO EN DERECHO,1044,Hombre,107,172,53,43,18,17,6,9,11,1,3,1,7,4,22,474
 , ,LICENCIADO EN DERECHO,2299,Hombre,0,1,111,153,196,144,109,58,54,33,17,16,64,36,77,1069
 , ,LICENCIATURA EN DERECHO,1,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAC. FARMACIA,3250,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA,180,Hombre,0,0,8,5,6,0,2,5,4,5,0,3,2,2,3,45
 , ,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,63,Hombre,7,3,0,3,3,0,0,1,0,0,0,0,0,2,1,20
 , ,GRADO EN FARMACIA,683,Hombre,67,59,22,11,7,5,2,5,1,2,1,2,5,1,5,195
 , ,GRADO EN NUTRICIÓN HUMANA Y DIETÉTICA,195,Hombre,9,9,1,6,3,3,4,2,3,1,1,0,0,1,3,46
 , ,LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,222,Hombre,0,0,0,7,5,8,2,3,4,2,1,2,6,5,3,48
 , ,LICENCIADO EN FARMACIA,1907,Hombre,0,0,49,86,94,67,71,47,34,27,20,22,67,31,25,640
FAC. FILOSOFIA Y LETRAS,4944,GRADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,70,Hombre,2,5,6,7,3,1,2,2,2,1,0,0,2,1,2,36
 , ,GRADO EN ESTUDIOS FRANCESES,131,Hombre,3,5,8,10,1,1,1,0,0,0,0,0,1,0,0,30
 , ,GRADO EN ESTUDIOS INGLESES,287,Hombre,19,43,12,4,6,5,1,0,0,0,1,0,2,1,1,95
 , ,GRADO EN ESTUDIOS ÁRABES E ISLÁMICOS,65,Hombre,2,2,5,1,5,1,2,1,2,2,0,0,3,0,1,27
 , ,GRADO EN FILOLOGÍA CLÁSICA,69,Hombre,6,8,3,4,0,2,1,0,0,0,0,0,0,1,0,25
 , ,GRADO EN FILOLOGÍA HISPÁNICA,181,Hombre,8,13,23,11,10,7,6,1,1,0,0,0,2,1,3,86
 , ,GRADO EN FILOSOFÍA,135,Hombre,15,19,13,10,9,7,2,1,1,2,1,1,1,0,3,85
 , ,GRADO EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,100,Hombre,12,29,7,8,5,5,2,1,1,0,0,0,0,0,3,73
 , ,GRADO EN HISTORIA,285,Hombre,52,56,33,18,10,9,1,1,2,3,1,1,4,3,10,204
 , ,GRADO EN HISTORIA DEL ARTE,254,Hombre,10,24,13,7,8,2,3,1,4,3,0,1,2,0,5,83
 , ,GRADO EN HISTORIA Y CIENCIAS DE LA MÚSICA,128,Hombre,11,12,11,10,5,5,1,1,4,0,1,1,4,1,2,69
 , ,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,152,Hombre,5,5,10,16,8,5,2,2,1,1,0,0,1,0,1,57
 , ,GRADO EN LITERATURAS COMPARADAS,58,Hombre,4,3,2,4,3,1,1,1,1,1,0,1,0,0,0,22
 , ,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,328,Hombre,0,0,15,12,9,13,9,5,10,6,3,5,27,9,10,133
 , ,LICENCIADO EN FILOLOGÍA CLÁSICA,55,Hombre,0,0,4,5,4,4,3,1,2,0,0,0,1,0,0,24
 , ,LICENCIADO EN FILOLOGÍA ESLAVA,33,Hombre,0,0,2,3,1,2,1,0,3,1,0,1,1,1,3,19
 , ,LICENCIADO EN FILOLOGÍA FRANCESA,100,Hombre,0,0,5,10,3,3,3,2,1,1,0,1,3,0,1,33
 , ,LICENCIADO EN FILOLOGÍA HEBREA,16,Hombre,0,1,9,4,0,1,0,0,0,0,0,0,1,0,0,16
 , ,LICENCIADO EN FILOLOGÍA HISPÁNICA,533,Hombre,1,5,76,84,75,34,21,12,6,5,6,1,6,6,5,343
 , ,LICENCIADO EN FILOLOGÍA INGLESA,477,Hombre,0,0,23,36,22,24,14,10,7,7,4,5,8,3,2,165
 , ,LICENCIADO EN FILOLOGÍA ITALIANA,10,Hombre,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4
 , ,LICENCIADO EN FILOLOGÍA PORTUGUESA,1,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 , ,LICENCIADO EN FILOLOGÍA ROMÁNICA,12,Hombre,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,5
 , ,LICENCIADO EN FILOLOGÍA ÁRABE,70,Hombre,0,0,6,6,2,2,2,2,0,0,1,2,0,0,1,24
 , ,LICENCIADO EN FILOSOFÍA,213,Hombre,0,0,7,25,23,28,14,11,9,6,3,2,13,2,7,150
 , ,LICENCIADO EN GEOGRAFÍA,108,Hombre,0,0,7,15,16,9,9,3,4,6,0,2,4,1,3,79
 , ,LICENCIADO EN HISTORIA,513,Hombre,0,1,57,65,74,43,21,18,11,11,8,7,16,10,15,357
 , ,LICENCIADO EN HISTORIA DEL ARTE,374,Hombre,0,1,9,29,14,18,16,6,10,7,6,2,14,10,12,154
 , ,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,96,Hombre,0,0,5,2,6,6,5,4,3,0,3,4,5,3,1,47
 , ,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA,90,Hombre,0,0,6,7,6,2,2,3,1,0,1,3,4,2,3,40
FAC. MEDICINA,1732,GRADO EN MEDICINA,507,Hombre,66,79,7,1,0,2,2,2,4,0,1,0,5,3,0,172
 , ,LICENCIADO EN MEDICINA,1225,Hombre,0,2,91,94,83,73,28,15,12,8,7,10,18,6,28,475
FAC. ODONTOLOGÍA,480,GRADO EN ODONTOLOGÍA,162,Hombre,19,13,10,4,3,1,4,0,0,2,0,1,3,1,2,63
 , ,LICENCIADO EN ODONTOLOGÍA,318,Hombre,1,0,19,19,18,20,7,3,5,2,1,0,2,5,3,105
FAC. PSICOLOGIA,2140,DIPLOMADO EN LOGOPEDIA,110,Hombre,0,0,1,1,1,1,0,0,0,0,0,1,0,2,1,8
 , ,GRADO EN LOGOPEDIA,117,Hombre,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,6
 , ,GRADO EN PSICOLOGÍA,641,Hombre,39,39,34,14,10,8,4,5,3,2,2,0,2,0,8,170
 , ,LICENCIADO EN PSICOLOGÍA,1272,Hombre,0,0,37,75,77,39,34,25,13,11,7,10,18,9,12,367
FAC. TRADUCCIÓN INTERPRETACION,1700,GRADO EN TRADUCCIÓN E INTERPRETACIÓN,585,Hombre,40,57,19,19,8,7,2,6,3,3,3,3,3,1,7,181
 , ,LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN,1115,Hombre,1,11,98,104,61,38,29,21,14,7,11,4,18,5,12,434
E.T.S. ARQUITECTURA,1754,ARQUITECTO,1420,Hombre,0,0,53,77,80,80,87,77,61,46,41,38,95,33,12,780
 , ,GRADO EN ARQUITECTURA,334,Hombre,71,57,19,8,3,7,2,3,5,1,0,0,4,2,1,183
ETS INFORMÁTICA Y TELECOMUNI.,2375,GRADO EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,245,Hombre,69,58,37,7,3,2,1,2,0,0,0,1,2,0,2,184
 , ,GRADO EN INGENIERÍA INFORMÁTICA,746,Hombre,110,145,90,81,56,37,29,18,14,8,4,4,10,1,3,610
 , ,INGENIERO DE TELECOMUNICACIÓN,398,Hombre,0,1,27,57,60,68,40,28,14,9,3,1,5,0,1,314
 , ,INGENIERO EN INFORMÁTICA,510,Hombre,0,0,11,53,51,80,73,48,31,30,19,13,31,5,2,447
 , ,INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN,246,Hombre,0,0,5,10,20,23,26,20,20,21,13,13,19,10,0,200
 , ,INGENIERO TÉCNICO EN INFORMÁTICA DE SISTEMAS,230,Hombre,0,0,5,14,33,23,35,19,15,12,9,5,15,9,4,198
ETS CAMINOS CANALES Y PUERTOS,1652,GRADO EN INGENIERÍA CIVIL,512,Hombre,120,119,58,27,9,11,7,9,2,1,4,1,3,0,2,373
 , ,"INGENIERO/A DE CAMINOS, CANALES Y PUERTOS",1139,Hombre,0,3,74,129,122,124,110,68,62,25,22,21,31,22,11,824
 , ,"INGENIERÍA SUPERIOR DE CAMINOS, CANALES Y PUERTOS",1,Hombre,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
E.T.S.I. DE EDIFICACIÓN,2240,ARQUITECTURA TÉCNICA,1405,Hombre,0,0,84,107,82,80,81,89,78,39,47,47,129,42,36,941
 , ,GRADO EN INGENIERIA EN EDIFICACIÓN (CURSO PUENTE),58,Hombre,0,0,0,1,8,0,5,3,1,4,1,0,5,0,1,29
 , ,GRADO EN INGENIERÍA DE EDIFICACIÓN,777,Hombre,81,109,74,57,53,25,23,19,4,9,5,4,16,5,16,500
FAC. COMUNICACIÓN Y DOCUMENTA.,609,DIPLOMADO EN BIBLIOTECONOMÍA Y DOCUMENTACIÓN,83,Hombre,0,0,6,4,4,1,1,3,1,2,3,1,10,1,2,39
 , ,GRADO EN COMUNICACIÓN AUDIOVISUAL,130,Hombre,11,18,6,6,4,2,3,4,2,1,1,0,1,2,2,63
 , ,GRADO EN INFORMACIÓN Y DOCUMENTACIÓN,148,Hombre,9,12,13,0,3,11,0,3,3,1,0,0,0,1,2,58
 , ,LICENCIADO EN COMUNICACIÓN AUDIOVISUAL,115,Hombre,0,0,4,8,6,7,10,7,4,4,2,2,7,5,7,73
 , ,LICENCIADO EN DOCUMENTACIÓN,133,Hombre,0,0,0,1,5,5,7,8,9,0,2,1,4,1,3,46
F. DE CIENCIAS DE LA SALUD,934,DIPLOMADO EN ENFERMERÍA,239,Hombre,0,0,19,8,6,8,2,1,2,1,1,1,5,3,3,60
 , ,DIPLOMADO EN FISIOTERAPIA,108,Hombre,0,0,4,13,4,5,5,5,4,0,3,2,3,3,2,53
 , ,DIPLOMADO EN TERAPIA OCUPACIONAL,87,Hombre,0,0,4,1,1,1,2,0,1,3,2,0,0,1,0,16
 , ,GRADO EN ENFERMERÍA,274,Hombre,29,20,3,1,0,2,7,1,0,0,0,0,2,1,3,69
 , ,GRADO EN FISIOTERAPIA,110,Hombre,15,10,8,4,2,0,3,2,0,2,1,0,0,1,2,50
 , ,GRADO EN TERAPIA OCUPACIONAL,116,Hombre,3,5,2,2,4,1,0,0,2,0,2,0,0,1,0,22
FAC. CIENCIAS DEL TRABAJO,2082,DIPLOMADO EN RELACIONES LABORALES,1011,Hombre,0,0,25,37,40,54,54,32,19,23,19,6,29,14,14,366
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,712,Hombre,41,66,47,40,21,24,10,11,6,3,3,1,2,2,15,292
 , ,LICENCIADO EN CIENCIAS DEL TRABAJO,359,Hombre,0,0,0,8,13,10,18,14,9,4,5,4,7,4,16,112
FACULTAD DE TRABAJO SOCIAL,681,DIPLOMADO EN TRABAJO SOCIAL,331,Hombre,0,1,12,11,7,12,6,9,1,5,6,4,9,2,5,90
 , ,GRADO EN TRABAJO SOCIAL,350,Hombre,6,12,11,7,12,4,4,0,4,1,1,0,4,1,5,72
FAC. EDUCACION HUMANIDAD.CEUTA,820,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""",62,Hombre,0,0,2,4,3,9,4,2,3,1,1,0,3,1,1,34
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),69,Hombre,5,10,4,4,5,1,4,1,3,0,1,0,0,1,2,41
 , ,GRADO EN EDUCACIÓN SOCIAL (CEUTA),85,Hombre,4,4,2,1,4,2,1,0,0,0,1,0,2,2,1,24
 , ,GRADO EN INGENIERÍA INFORMÁTICA (CEUTA),20,Hombre,3,4,2,1,0,0,1,0,0,0,0,1,1,2,1,16
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (CEUTA),90,Hombre,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,9
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (CEUTA),152,Hombre,17,13,9,8,2,7,6,1,0,0,1,1,4,0,2,71
 , ,"INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN ""CEUTA""",20,Hombre,0,0,2,0,2,1,2,1,2,0,1,2,4,0,1,18
 , ,"LICENCIADO EN PSICOPEDAGOGÍA ""CEUTA""",39,Hombre,0,0,0,0,0,3,2,2,0,0,0,0,2,2,2,13
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""CEUTA""",9,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""CEUTA""",23,Hombre,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""CEUTA""",71,Hombre,0,0,10,8,9,6,7,5,1,0,1,1,6,4,2,60
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""CEUTA""",90,Hombre,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,5
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""CEUTA""",7,Hombre,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,5
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""CEUTA""",62,Hombre,0,0,5,3,2,2,0,0,1,0,0,0,2,3,1,19
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""CEUTA""",21,Hombre,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,6
FAC. EDUCACION HUMANID.MELILLA,579,GRADO EN EDUCACIÓN SOCIAL (MELILLA),48,Hombre,1,2,2,1,0,0,0,1,0,0,0,0,2,1,0,10
 , ,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (MELILLA),67,Hombre,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,6
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (MELILLA),127,Hombre,17,11,7,7,0,1,0,1,1,1,0,0,1,3,1,51
 , ,"LICENCIADO EN PSICOPEDAGOGÍA ""MELILLA""",82,Hombre,0,0,0,1,2,4,4,3,0,2,1,1,3,0,1,22
 , ,"MAESTRO (ESPECIALIDAD DE EDUCACIÓN INFANTIL) ""MELILLA""",1,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 , ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""MELILLA""",9,Hombre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""MELILLA""",19,Hombre,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""MELILLA""",48,Hombre,0,0,5,6,5,5,6,1,1,1,1,1,2,1,2,37
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""MELILLA""",58,Hombre,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""MELILLA""",7,Hombre,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
 , ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""MELILLA""",86,Hombre,0,0,3,5,3,4,1,0,0,0,0,0,1,2,5,24
 , ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""MELILLA""",27,Hombre,0,0,0,0,0,0,0,1,1,0,0,2,2,1,0,7
F. CC SOCIALES DE MELILLA,250,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""",97,Hombre,0,0,3,1,9,4,6,4,2,1,1,3,3,2,1,40
 , ,"DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA ""MELILLA""",17,Hombre,0,0,0,0,1,1,0,1,0,1,1,0,1,1,3,10
 , ,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",23,Hombre,0,0,1,1,0,0,0,0,1,0,0,0,0,2,3,8
 , ,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),82,Hombre,11,13,8,7,3,0,2,0,0,0,0,0,0,1,1,46
 , ,GRADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),14,Hombre,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,6
 , ,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),17,Hombre,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,6
F. DE ENFERMERÍA DE MELILLA,221,"DIPLOMADO EN ENFERMERÍA ""MELILLA""",97,Hombre,0,0,3,4,2,2,0,2,1,2,0,0,0,2,1,19
 , ,GRADO EN ENFERMERÍA (MELILLA),124,Hombre,9,3,7,1,0,4,0,4,1,0,0,0,0,1,0,30
F. DE CC. DE LA SALUD CEUTA,525,"DIPLOMADO EN ENFERMERÍA ""CEUTA""",266,Hombre,0,0,13,21,8,6,6,2,2,4,3,1,5,4,3,78
 , ,GRADO EN ENFERMERÍA (CEUTA),259,Hombre,15,8,6,15,4,7,1,2,2,2,4,1,4,0,3,74
CENTRO PROF. INMACULADAC CONC.,1313,GRADO EN MAESTRO DE EDUCACIÓN INFANTIL (LA INMACULADA),280,Hombre,3,9,3,4,4,0,0,1,0,0,0,0,2,1,0,27
 , ,GRADO EN MAESTRO EN EDUCACIÓN PRIMARIA (LA INMACULADA),458,Hombre,39,56,53,25,14,7,7,3,5,2,0,0,8,3,1,223
 , ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE (LA INMACULADA),33,Hombre,0,0,1,2,2,3,0,0,1,0,0,0,0,0,0,9
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL (LA INMACULADA),57,Hombre,0,0,8,2,1,0,1,1,0,1,1,1,0,0,0,16
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA (LA INMACULADA),156,Hombre,0,0,25,26,13,17,8,14,6,2,4,4,4,2,0,125
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL (LA INMACULADA),133,Hombre,0,0,5,1,2,0,0,2,1,0,0,1,1,2,1,16
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL (LA INMACULADA),49,Hombre,0,0,7,6,1,0,1,1,0,3,2,2,0,1,0,24
 , ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA (LA INMACULADA),103,Hombre,0,0,0,13,5,5,4,1,1,1,1,1,1,1,1,35
 , ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA (LA INMACULADA),44,Hombre,0,0,0,0,1,5,1,2,1,0,1,1,1,0,0,13
CENTRO DE ENFERMERÍA DEL S.A.S,182,DIPLOMADO EN ENFERMERÍA (VIRGEN DE LAS NIEVES),69,Hombre,0,0,7,2,2,1,2,0,1,1,0,1,5,2,1,25
 , ,GRADO EN ENFERMERÍA (VIRGEN DE LA NIEVES),113,Hombre,5,5,3,3,1,1,2,0,0,1,2,0,1,0,2,26
